,channel,stress_mean,calm_mean,diff,p_value,n_stress,n_calm
0,h_vol,-75.5073158216235,-80.97646386106328,5.469148039439787,0.0,807,7254
1,h_dep,-5.117948238126286,-3.397814788314251,-1.7201334498120349,0.0005,807,7254
2,h_cov,-80.6252640597498,-84.37427864937752,3.74901458962772,0.0125,807,7254
3,d_total,1.9573407077374374,1.4760513216526807,0.4812893860847567,0.0325,807,7254
4,d_odd,0.1206617399168886,0.11200271919308052,0.008659020723808072,0.4495,807,7254
5,d_even,1.8366789678205486,1.3640486024596,0.4726303653609487,0.0355,807,7254
6,h_tot,-82.58260476748723,-85.8503299710302,3.2677252035429802,0.032,807,7254
7,J,8.020700402560424,5.1312112877711025,2.8894891147893214,0.0,807,7254
8,skew_market,-0.18756026388497724,-0.22087339325763217,0.03331312937265493,0.6705,807,7254
9,exkurt_market,2.3873739415526876,1.6673428472747454,0.7200310942779422,0.1405,807,7254
10,mean_corr,0.3570038857639999,0.2513211541898167,0.10568273157418318,0.001,807,7254
11,n_eff_modes,10.50151970279983,13.196766135324095,-2.6952464325242644,0.0005,807,7254
12,tail_dep,0.30537258056334554,0.21897007706288973,0.08640250350045581,0.0015,807,7254
