statistic,observed,null_mean,null_sd,null_q05,null_q95,p_greater,p_less,n_rep
n_jump_up,158.0,147.65,8.222402005304904,139.15,157.25,0.05,0.95,20
n_jump_down,9.0,3.15,1.2680278927697548,1.9000000000000001,5.0,0.0,1.0,20
jump_ratio_up_down,17.555555555555557,inf,,30.69,inf,1.0,0.0,20
mean_size_up,0.6216475618603958,1.1710768770435291,0.13120594949790848,0.9724662386719493,1.3217286402796007,1.0,0.0,20
max_size_up,3.2094760188885463,7.193951509929493,1.090837777086048,5.178686187621771,8.534479299492082,1.0,0.0,20
skew_of_changes,12.259691221942399,14.554807321992806,1.7971485157745222,11.998752967125622,16.919882828042383,0.9,0.1,20
share_of_variance_up,0.837603535156155,0.9042223477947532,0.017268849476098462,0.8734476831582763,0.9237264566807624,1.0,0.0,20
half_life_days,120.11933087886054,91.72625699931004,9.45245542942437,82.35109041058027,110.71157083301904,0.0,1.0,20
kappa,0.005770488192770397,0.007627237192390649,0.0007266819493227497,0.006261658601598063,0.008419112501950689,1.0,0.0,20
sd_J,2.0304570162718116,1.6137367792803499,0.1849056865202873,1.3838334956214406,1.9156014416297291,0.05,0.95,20
range_J,18.952804643198572,10.488843851434373,1.2955065078021153,8.360056585770778,12.334820282965786,0.0,1.0,20
H1_J_stress_minus_calm,2.8894891147893214,2.318710139214576,0.29701188487020885,1.7568500128449935,2.7424031700971514,0.0,1.0,20
H1_hdep_stress_minus_calm,-1.7201334498120349,-0.2909229134181237,0.10714823590395962,-0.45522356766485833,-0.14403783181736005,1.0,0.0,20
H1_D_stress_minus_calm,0.4812893860847567,1.3536135022873093,0.21567782949793418,0.9827483479760926,1.642947952763191,1.0,0.0,20
H2_corr_dhvol_dhdep_all,0.09777102907372583,0.1420840466087525,0.28713744463083885,-0.2921773180855943,0.4734234417817729,0.6,0.4,20
H2_corr_dhvol_dhdep_stress,-0.4014166278073175,-0.2590868224419145,0.42470980591582086,-0.6992058906328502,0.349487024373849,0.45,0.55,20
H5_dskew_on_jump_minus_else,-0.05296863157983805,-0.025005061707444133,0.05002087089800501,-0.10020106201437678,0.039678167030808065,0.75,0.25,20
H5_corr_dJ_dskew,-0.243271247569106,-0.0669279648627733,0.14009910744842188,-0.24718780262080936,0.16042526564702067,0.9,0.1,20
H6_corr_dep_shape_stress,0.6618264214675221,0.9028734100014708,0.02653726136735099,0.8647226217700802,0.9325214305155441,1.0,0.0,20
H6_corr_dep_shape_calm,0.04446381251686032,0.1566133338748007,0.06480635536356709,0.05360283231546891,0.2557755902000244,0.95,0.05,20
H6_coupling_gap,0.6173626089506619,0.7462600761266699,0.07044357297282401,0.6382191521768191,0.8839991677589121,1.0,0.0,20
corr_J_logvol,0.46125486573338814,0.4141105845793379,0.041530895733738644,0.35903892683973765,0.46471464907069154,0.1,0.9,20
